original_text,original_score,original_perplexity,counterfactual_text,counterfactual_score,counterfactual_perplexity,found_flip,levenshtein_similarity_score,original_question
"what came into force after the new constitution was herald? [sep] as of that day, the new constitution heralding the second republic came into force.",0.005043478216975927,62.80455017089844,"what came into force after the new constitution was herald? [sep] as of that day, the new constitution heralding the second republic came into force.",0.3764539659023285,112.07537078857422,False,0.5570469798657718,what came into force after the new constitution was herald?
"what is the first major city in the stream of the rhine? [sep] the most important tributaries in this area are the ill below of strasbourg, the neckar in mannheim and the main across from mainz.",0.5670859813690186,166.79348754882812,"what is the first major city in the stream of the rhine? [sep] the most important tributaries in this area are the ill below of strasbourg, the neckar in mannheim and the main across from mainz.",0.8035158514976501,118.59309387207031,False,0.6752577319587629,what is the first major city in the stream of the rhine?
what is the legitimate required if you want to teach in canada? [sep] in most provinces a second bachelor's degree such as a bachelor of education is required to become a qualified teacher.,0.9625449180603027,35.93400192260742,what is the legitimate required if you want to teach in canada? [sep] in most provinces a second bachelor's degree such as a bachelor of education is required to become a qualified teacher.,0.9671962261199951,56.24201202392578,False,0.6296296296296297,what is the minimum required if you want to teach in canada?
"how was temujin kept probation by the tayichi' ud? [sep] the tayichi' ud enslaved temujin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of chilaun (who later became a general of genghis khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice. [ citation needed ]",0.013612106442451477,100.98246002197266,"how was temujin kept probation by the tayichi' ud? [sep] the tayichi' ud enslaved temujin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of chilaun (who later became a general of genghis khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice. [ citation needed ]",0.3170066475868225,85.87017059326172,False,0.8337801608579088,how was temüjin kept imprisoned by the tayichi'ud?
"what did herr gott, dich loben wir hepburn known aspiration [sep] he paraphnamed the te deum as "" herr gott, dich loben wir "" with a simplified form of the melody.",0.9964224696159363,194.8141632080078,"what did herr gott, dich loben wir hepburn known aspiration [sep] he paraphnamed the te deum as "" herr gott, dich loben wir "" with a simplified form of the melody.",0.21971537172794342,291.79571533203125,True,0.5766871165644172,"what did herr gott, dich loben wir become known as?"
"what man did the the case go before the supreme court? [sep] forurationmona joseph haas was arrested for allegedly sending an email to the lebanon, new hampshire city councilors stating, "" wise up or die. """,0.9978723526000977,101.78874206542969,"what man did the the case go before the supreme court? [sep] forurationmona joseph haas was arrested for allegedly sending an email to the lebanon, new hampshire city councilors stating, "" wise up or die. """,0.9578563570976257,189.34194946289062,False,0.6601941747572815,what year did the the case go before the supreme court?
"what does umc stand for? [sep] founded in 1968 by the union of the methodist church (oulos) and the evangelical united brethren church, the umc traces its roots back to the revival movement of john and charles wesley in england as well as the great awakening in the united states.",0.9770978689193726,130.8090057373047,"what does umc stand for? [sep] founded in 1968 by the union of the methodist church (oulos) and the evangelical united brethren church, the umc traces its roots back to the revival movement of john and charles wesley in england as well as the great awakening in the united states.",0.16904370486736298,141.97125244140625,True,0.875,what does umc stand for?
what is the name of the professional skateboarder that lives in southern california? [sep] southern california is also important to the world of yachting.,0.997913658618927,67.6806869506836,what is the name of the professional skateboarder that lives in southern california? [sep] southern california is also important to the world of yachting.,0.8174578547477722,40.05146408081055,False,0.40909090909090906,what is the name of the professional skateboarder that lives in southern california?
where did temujineiagni his escape from the tayichi' ud? [sep] temujin's reputation also became widespread after his escape from the tayichi' ud forest,0.9979808926582336,461.7332458496094,where did temujineiagni his escape from the tayichi' ud? [sep] temujin's reputation also became widespread after his escape from the tayichi' ud forest,0.2998546063899994,179.65573120117188,True,0.5231788079470199,where did temüjin hide during his escape from the tayichi'ud?
"what are the most fold parts of ctenophora? [sep] these branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0.013575946912169456,81.11638641357422,"what are the most fold parts of ctenophora? [sep] these branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0.44599053263664246,96.30306243896484,False,0.8595505617977528,what are the most active parts of ctenophora?
"who decides the seton of decimal most of the time? [sep] brownlee eureka, "" bringing in deterrence at the level of justification detracts from the law ’ s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law. """,0.9865356087684631,96.12276458740234,"who decides the seton of decimal most of the time? [sep] brownlee eureka, "" bringing in deterrence at the level of justification detracts from the law ’ s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law. """,0.8309345245361328,139.382568359375,False,0.7963525835866261,who decides the fate of protesters most of the time?
"what act sets forth the functions of the mexican parliament? [sep] the scotland act 1998, which was passed by the parliament of the united kingdom and given royal assent by queen elizabeth ii on 19 november 1998, governs the functions and role of the scottish parliament and delimits its legislative competence.",0.0036305736284703016,65.58869934082031,"what act sets forth the functions of the mexican parliament? [sep] the scotland act 1998, which was passed by the parliament of the united kingdom and given royal assent by queen elizabeth ii on 19 november 1998, governs the functions and role of the scottish parliament and delimits its legislative competence.",0.9670807123184204,64.50518798828125,True,0.7845659163987138,what act sets forth the functions of the scottish parliament?
what is the name for a response of thegative system that damages the body's native adherence? [sep] hypersensitivity is an bodily response that damages the body's own tissues.,0.007925821468234062,19.41464614868164,what is the name for a response of thegative system that damages the body's native adherence? [sep] hypersensitivity is an bodily response that damages the body's own tissues.,0.49821192026138306,146.40911865234375,False,0.39428571428571424,what is the name for a response of the immune system that damages the body's native tissues?
when did the warsaw uprising begin? [sep] the polish government-in-exile in london gave orders to the underground home army (ak) to try to seize control of warsaw from the germans before the red army arrived.,0.9978017210960388,150.43035888671875,when did the warsaw uprising begin? [sep] the polish government-in-exile in london gave orders to the underground home army (ak) to try to seize control of warsaw from the germans before the red army arrived.,0.8293319344520569,128.5417938232422,False,0.7980769230769231,when did the warsaw uprising begin?
the tower district is centered aroundlies historic theatre? [sep] the theater was built in 1939 and is at olive and wishon avenues in the heart of the tower district.,0.939918577671051,115.88262176513672,the tower district is centered aroundlies historic theatre? [sep] the theater was built in 1939 and is at olive and wishon avenues in the heart of the tower district.,0.34318068623542786,233.63180541992188,True,0.6024096385542168,the tower district is centered around which historic theatre?
"what is the english languages of het scheur? [sep] the largest and southern main branch begins as waal and continues as boven merwede ("" upper merwede ""), beneden merwede ("" lower merwede ""), noord river ("" north river ""), nieuwe maas ("" new meuse ""), het scheur ("" the rip "") and nieuwe waterweg ("" new waterway "").",0.00329668284393847,110.49601745605469,"what is the english languages of het scheur? [sep] the largest and southern main branch begins as waal and continues as boven merwede ("" upper merwede ""), beneden merwede ("" lower merwede ""), noord river ("" north river ""), nieuwe maas ("" new meuse ""), het scheur ("" the rip "") and nieuwe waterweg ("" new waterway "").",0.09690732508897781,84.0769271850586,False,0.8006329113924051,what is the english translation of het scheur?
